name,url,loc
Queensland Goverment Pavilion,https://www.qld.gov.au/dsiti,Meeting Room: 8
Australian Clinical Labs,https://www.clinicallabs.com.au,Booth: 11
AbbVie,https://www.abbvie.com.au/?trackingSelection=Yes,Meeting Room: 6
Almac,http://www.almacgroup.com,Booth: 24
Aptar Pharma India Pty Ltd,https://pharma.aptar.com/,Booth: 9
Bellberry / Praxis,http://www.bellberry.com.au/,Booth: 51
Biointelect,http://www.biointelect.com/,Booth: 10
Clintec,https://www.clintec.com/,Booth: 44
CMAX Clinical Research,https://www.cmax.com.au/,Booth: 34
CPR Pharma Services,http://www.cprservices.com.au/,Booth:  37
Cresset,http://www.cresset-group.com/,Booth: 45
Team Perth Pavilion,https://www.perth.wa.gov.au/,Booths: 48-49 & 58-59
ChemicalAnalysis,http://www.chemicalanalysis.com/,Booth: 42
CSIRO,https://www.csiro.au/,Booth: 27
Domainex,http://www.domainex.co.uk/,Booth: 33
Dotmatics,https://www.dotmatics.com/,Booth: 55
Gold Coast Health & Knowledge Precinct,http://www.gchkp.com.au,Booth: 41
IQVIA,https://www.iqvia.com/,Booth: 46
Korean Pavilion,http://www.khidi.or.kr/eps,Booths: 12-13
McCloud Consulting Group,http://www.mccloudcg.com/,Booth: 28
Medidata Solutions,https://www.mdsol.com/en,Booth: 29
Melbourne Pavilion,https://economicdevelopment.vic.gov.au/,Booths: 5-6
Motherson Innovations,http://www.motherson-innovations.com/,Booth: 22
MSD Australia,https://www.msd-australia.com.au/home/,Meeting Room: 1
My Medical Department,http://www.mymedicaldepartment.com/,Booth: 43
NCRIS,https://www.education.gov.au/national-collaborative-research-infrastructure-strategy-ncris,Booths: 25-26
Novotech CRO,http://www.novotech-cro.com/,Booth: 40
Pakair Cargo,http://www.pakair.com.au%20%20,Booth: 35
PCI Pharma Services,https://pciservices.com/,Booth: 32
Pfizer Global,https://www.pfizer.com.au/about-us/adelaide-manufacturing,Booth: 36
Pharma Intelligence,https://pharmaintelligence.informa.com/,Booth: 47 
Q-Pharm,https://qpharm.com.au/,Booths: 21-38
Salzman Group,http://www.salzmangrp.com/,Booth: 53
St Vincent's Hospital,http://svhm.org.au/home,Booth: 50
Translational Research Institute,https://www.tri.edu.au/translational-research-institute-australia,Booth: 31
The University of Adelaide,http://www.adelaide.edu.au/research-services,Booth: 54
TrialDocs Services and Burika Solutions,http://www.trialdocs.com.au,Booth:  20
University of Queensland,https://www.uq.edu.au/,Booths: 15-16
WEHI,https://www.wehi.edu.au/,Booth: 39
Wallonia Belgium Pavilion,http://www.wallonia.com.au/en,Booths: 2-4
Westmead Research Hub,http://www.westmead.org.au/,Booth: 52
World Courier,https://www.worldcourier.com/,Booth: 57
